,ts_code,symbol,name,industry,COL_MA,COL_LASTPRICE,COL_MA_CLOSE_GAP,COL_MA_10,COL_MA_20,COL_MA_GAP,COL_MA_10_SLOPE,COL_MA_20_SLOPE,concept
324,600073.SH,600073,上海梅林,食品,9.2,11.62,26.3,9.41,9.2,2.28,2.84,1.77,"食品, 休闲食品, 万达系, 上海国企改革, 进口博览会, "
325,002100.SZ,002100,天康生物,饲料,9.88,12.49,26.42,10.31,9.88,4.35,3.0,1.75,"转基因, 饲料, 养猪, 新疆, 新疆国企改革, 动物保健, "
326,002054.SZ,002054,德美化工,化工原料,7.61,9.63,26.54,7.74,7.61,1.71,2.65,1.6,"半导体, 国资入股, 壳公司, 创投, "
327,000982.SZ,000982,*ST中绒,纺织,1.88,2.38,26.6,2.15,1.88,14.36,3.37,2.17,"纺织服装, 低价股, ST股, 宁夏, "
328,603519.SH,603519,立霸股份,家用电器,12.25,15.53,26.78,13.21,12.25,7.84,2.32,2.0,"白色家电, 家电, "
329,600759.SH,600759,洲际油气,石油开采,3.92,4.98,27.04,4.32,3.92,10.2,3.35,2.08,"油服, 油气改革, 海南自由贸易港, 互联网金融, 自贸区, 自由贸易港, 资产重组, 海南, "
330,002783.SZ,002783,凯龙股份,化工原料,15.1,19.2,27.15,18.44,15.1,22.12,3.71,3.35,"军工, 军民融合, 化肥, 燃料电池, 民爆, "
331,000702.SZ,000702,正虹科技,饲料,7.11,9.17,28.97,7.32,7.11,2.95,3.1,1.86,"饲料, 业绩预增, 湖南国企改革, 农垦, "
332,002600.SZ,002600,领益智造,元器件,5.9,7.63,29.32,6.1,5.9,3.39,3.04,1.37,"OLED, 华为产业链, 稀土磁材, 小米概念股, 苹果产业链, 强势人气股, "
333,600393.SH,600393,粤泰股份,全国地产,3.29,4.27,29.79,3.64,3.29,10.64,3.41,2.49,"粤港澳大湾区, 高质押率, 房地产, 低价股, "
334,300325.SZ,300325,德威新材,塑料,5.52,7.18,30.07,6.1,5.52,10.51,3.39,2.79,"特高压, 供应链金融, 锦纶（尼龙）, 燃料电池, 举牌股, 资产重组, "
335,002385.SZ,002385,大北农,饲料,6.16,8.1,31.49,6.71,6.16,8.93,3.39,2.33,"MSCI, 新进指数成份股, 转基因, 回购, 饲料, 养猪, 互联网金融, 农业种植, 国资入股, "
336,603363.SH,603363,傲农生物,饲料,19.77,26.75,35.31,23.43,19.77,18.51,4.09,3.51,"饲料, 养猪, 动物保健, "
337,600218.SH,600218,全柴动力,农用机械,15.71,21.35,35.9,19.38,15.71,23.36,4.36,2.88,"燃料电池, 强势人气股, "
338,300145.SZ,300145,中金环境,专用机械,4.68,6.4,36.75,5.06,4.68,8.12,4.33,2.41,"固废处理, 回购, 环保, 污水处理, 股权转让, 国资入股, "
339,002274.SZ,002274,华昌化工,农药化肥,11.99,16.47,37.36,13.09,11.99,9.17,3.89,3.63,"甲醇, 纯碱, 业绩预增, 化肥, 燃料电池, 科创板概念股, "
340,600758.SH,600758,红阳能源,煤炭开采,5.23,7.21,37.86,6.23,5.23,19.12,4.71,3.36,"煤炭, 电改, 风电, 股权转让, "
341,300022.SZ,300022,吉峰科技,农用机械,5.0,6.95,39.0,5.3,5.0,6.0,4.33,2.46,"乡村振兴, 农机, "
342,002215.SZ,002215,诺普信,农药化肥,7.9,11.11,40.63,8.97,7.9,13.54,4.55,3.0,"农药, 回购, 供应链金融, "
343,300152.SZ,300152,科融环境,环境保护,3.23,4.71,45.82,3.56,3.23,10.22,3.49,2.87,"固废处理, 雄安-园林环保, 大气治理, 环保, 雄安新区, 污水处理, "
344,600213.SH,600213,亚星客车,汽车整车,8.89,13.04,46.68,9.78,8.89,10.01,5.16,2.42,"新能源整车, 汽车整车, 山东国企改革, 新能源汽车, "
345,002547.SZ,002547,春兴精工,通信设备,9.51,13.97,46.9,11.03,9.51,15.98,5.15,3.48,"5G, 特斯拉, 华为产业链, 3D玻璃, "
346,600175.SH,600175,美都能源,综合类,3.0,4.57,52.33,3.28,3.0,9.33,6.15,3.45,"油气改革, 破净股, 天然气, 石油化工, 高质押率, 锂电池, 互联网金融, 新能源汽车, 低价股, 石墨烯, 充电桩, "
347,300573.SZ,300573,兴齐眼药,化学制药,27.96,53.6,91.7,36.35,27.96,30.01,9.59,6.72,"医药, 化学药, 眼科, "
